hash,energy,size
8561fbee9693b3b943d4dde10734f884,22.0,28
ff664ea58b37a057333139bab0b4f125,27.0,31
efca485e62057664920f3607f2333e8c,26.0,32
b5b33eb187b42b26dfc5a3c75f850379,28.0,32
55454047abe491c2933c6fb7fb5aac79,17.0,21
5cd084e2fa5e725c83bf773f3bc802d9,27.0,33
bb04fd2d4691659e6bbbc3a02eb1bb2e,22.0,28
602cbf38968b6b84b4b37a97eec81387,18.0,24
fe293baa8c19920749f178f4b14ffeb4,21.0,25
b11bf06eb5fe6c769459557b0d74d340,24.0,30
ca5006d60e44efdbe9d4ffff6a021d67,20.0,24
0a5b84d777194127ce92908a4c401d07,21.0,27
f71f3950c95e3a32f4c7d2c47fba7f05,24.0,28
94d0ab260fd4c3f1e8c6bd05d6d4535a,20.0,26
38d89aaa0482b80220c53a5e86cdf6b4,21.0,25
8a44623d1b5956b1b92ba7a3e13a6be8,21.0,27
a4db09b4fd1ac360dd821c721fe10de5,24.0,30
baa444349921b0f54e99a310c6313c2f,28.0,34
8ea72ebc6a6c27169acfc1727ce5379a,26.0,30
966d001c2c0dd2de758970f8b80c6428,25.0,31
cf12d276882b6c5674639c06aba85cbd,26.0,32
948b04d118baff84d6e36addce395e7e,17.0,24
f64b46cf904076d68a716820e13619fa,28.0,32
2a184a2a1fac5350890ad25ac84786af,28.0,34
0ca8825e948754587685e4cc915c1ccf,26.0,32
4487a771fd0d4bbf83182f7e5adc429e,26.0,32
34d70c65cef81c4ef204f541b581af5a,20.0,26
fb32bd2e38c99f29a42860125a249db9,24.0,30
2012bd714dd035a1be7e46ab4529fd3d,27.0,33
5ab8a58274f758cbc84d7247c881928f,26.0,32
eea72d50ae2ec870113a22d496d311ff,22.0,26
a9755c2a5c3affb822a60662605f7b3c,25.0,31
b539c3b8a99f96e3902c32a4ea11760f,18.0,22
1e5a091c315afbcf6dd2b1ef21883e24,17.0,23
cd8dc99768514d23e0dc419017f43889,28.0,32
aeb5f637c9ed903610edac371d390824,17.0,24
a90964c64bfacd137ab08472db9542c0,26.0,32
b47cc51f2b70973db704436088aac31b,24.0,30
c3047cae6283ec8e98fa4e7c37e79685,17.0,24
f801e810a3a9f45eb959508b0563fdc9,22.0,26
88498663c3d1ef6884d4813c8bda2c8b,17.0,23
0d2c0498a7e17c881dbf7e54563491b9,22.0,26
90226630630f70543b67b6e5d5fa455d,27.0,31
c892c64f1886bb387eb7a492a0856e46,26.0,32
af05429e4726a341d9975325bd182356,24.0,28
69c4ae2e6872da1d7a30922f6ee5e331,28.0,32
2d54033a41ad30faa2b6fc3984582365,26.0,32
95e2640bc12dad379d43f388e2dd10e0,28.0,32
a00bab34bb84eb98bd9a6b1fa61ded30,19.0,25
4426a7ee2ae98ffb25d29bbce5ed91e7,8.0,14
3407c61430e33fb946f30db2f142d044,22.0,28
71bfb6b7e29644f0f799216fc393c716,20.0,26
4f15a16bd501db10b89917994474df58,28.0,34
301aa5a65d348b17a1aa86e0f67c4f89,21.0,27
2d3665014d2df64d5d6dc8a8fe25cd1d,27.0,31
a3d4feeda9d361b19d9ddb5cd8f4084a,20.0,26
e916867d09d6532c3da5dec71b8cc4f8,28.0,32
cf70869965abcb8e64e71167df539554,22.0,28
a4476bd68201b54d887cdc616c68e9c1,27.0,31
5c4de4ebad26f10c63fb12797e4405c5,5.0,11
8d0beb84eda3619272ec7cdcea18c3e3,26.0,32
f384df5f04290af6d52300f1037ba6ed,22.0,26
fee428e9a8e8b40724e569ec8c9134f9,20.0,26
ccb117cdbb447a981a4b061e4066acfa,17.0,23
1f4b4360d5ab8528a4dc2b0c04a43565,11.0,15
5d8580d7ac04c3b0321da54e7c94d52c,21.0,25
e1aa00766465189b56258ba4366554f6,26.0,32
5b234d652539281757c83b1fba6bbc92,32.0,36
725ef2de4a509aadcc475fc5db6fda35,7.0,13
7ad22ccf002578a6557d51b95a9f2ed4,14.0,20
00b1f80218bcb68bea5c563f5010a6dc,11.0,15
9946976f09774b2fdac2111b1a00e3a5,19.0,26
501052592a27e8c8844ba864782ac61a,12.0,18
d532550edc8e936ea4642f722c63ab5f,11.0,15
