value_decimal,initial_num_gates,lowest_gates,delta_gates
832,14,8,6
833,10,9,1
834,11,9,2
835,7,7,0
836,12,7,5
837,8,8,0
838,11,9,2
839,10,7,3
840,14,12,2
841,19,11,8
842,13,11,2
843,10,8,2
844,11,7,4
845,12,9,3
846,12,9,3
847,5,5,0
848,12,7,5
849,8,8,0
850,11,9,2
851,10,7,3
852,12,9,3
853,10,7,3
854,12,11,1
855,8,6,2
856,15,12,3
857,12,11,1
858,12,9,3
859,11,11,0
860,12,9,3
861,12,11,1
862,14,14,0
863,8,8,0
864,15,12,3
865,19,17,2
866,13,11,2
867,10,8,2
868,15,12,3
869,12,11,1
870,12,9,3
871,11,11,0
872,16,14,2
873,16,12,4
874,16,12,4
875,17,13,4
876,12,9,3
877,16,16,0
878,16,12,4
879,12,9,3
880,12,7,5
881,12,9,3
882,12,9,3
883,5,5,0
884,12,9,3
885,12,11,1
886,14,14,0
887,8,6,2
888,12,9,3
889,18,16,2
890,16,12,4
891,12,10,2
892,12,11,1
893,11,11,0
894,16,13,3
895,8,8,0
896,13,7,6
897,10,8,2
898,11,9,2
899,6,6,0
900,17,10,7
901,11,9,2
902,20,12,8
903,9,7,2
904,11,6,5
905,10,8,2
906,9,7,2
907,9,6,3
908,10,7,3
909,12,8,4
910,13,10,3
911,4,4,0
912,17,10,7
913,11,9,2
914,20,14,6
915,9,7,2
916,15,13,2
917,16,13,3
918,16,13,3
919,16,12,4
920,17,14,3
921,11,10,1
922,13,12,1
923,11,9,2
924,13,10,3
925,16,11,5
926,18,16,2
927,12,9,3
928,11,6,5
929,10,8,2
930,9,7,2
931,9,6,3
932,17,14,3
933,11,8,3
934,13,12,1
935,11,9,2
936,11,8,3
937,11,10,1
938,9,6,3
939,7,5,2
940,13,10,3
941,14,11,3
942,13,12,1
943,7,7,0
944,13,7,6
945,12,8,4
946,13,10,3
947,4,4,0
948,13,10,3
949,16,12,4
950,19,16,3
951,11,12,-1
952,13,10,3
953,14,14,0
954,13,10,3
955,7,7,0
956,13,14,-1
957,16,13,3
958,12,12,0
959,9,9,0
961,14,10,4
962,13,10,3
964,13,8,5
965,12,8,4
966,13,9,4
967,11,7,4
968,12,8,4
969,13,10,3
970,12,9,3
971,12,9,3
973,11,8,3
974,12,9,3
976,13,8,5
977,11,8,3
978,13,9,4
979,11,7,4
980,13,10,3
981,11,8,3
982,18,16,2
983,9,9,0
984,16,12,4
985,13,10,3
986,14,11,3
987,12,12,0
988,12,10,2
989,11,8,3
990,13,12,1
991,9,9,0
992,14,8,6
993,13,10,3
994,12,9,3
995,12,9,3
996,16,12,4
997,13,11,2
998,14,11,3
999,12,12,0
